fdc_id,data_type,description,protein_g,fat_g,carb_g,energy_kcal,fiber_g,sodium_mg,cholesterol_mg,satfat_g,sugars_g,desc_tokens,has_pork,has_beef,has_meat,brand,variant,product,verb,adj
167512,sr_legacy_food,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",5.88,13.24,41.18,307.0,1.2,1059.0,0.0,2.941,5.88,"['pillsbury golden layer buttermilk biscuits', 'artificial flavor', 'refrigerated dough']",False,False,False,['Pillsbury'],"['Artificial Flavor', 'refrigerated dough']","['Golden Layer Buttermilk Biscuits', 'refrigerated dough']",['refrigerated'],"['Golden', 'Artificial']"
167513,sr_legacy_food,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",4.34,11.27,53.42,330.0,1.4,780.0,0.0,3.25,21.34,"['pillsbury', 'cinnamon rolls with icing', 'refrigerated dough']",False,False,False,['Pillsbury'],"['Cinnamon Rolls with Icing', 'refrigerated dough']","['Cinnamon Rolls with Icing', 'refrigerated dough']",['refrigerated'],[]
167516,sr_legacy_food,"Waffles, buttermilk, frozen, ready-to-heat",6.58,9.22,41.05,273.0,2.2,621.0,15.0,1.898,4.3,"['waffles', 'buttermilk', 'frozen', 'ready-to-heat']",False,False,False,['buttermilk'],"['buttermilk', 'frozen', 'ready-to-heat']",['Waffles'],['frozen'],['ready']
167517,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, toasted",7.42,9.49,48.39,309.0,2.6,710.0,13.0,2.275,4.41,"['waffle', 'buttermilk', 'frozen', 'ready-to-heat', 'toasted']",False,False,False,['buttermilk'],"['frozen', 'ready-to-heat', 'toasted']",['Waffle'],"['frozen', 'toasted']",['ready']
167518,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",6.92,9.4,44.16,289.0,2.4,663.0,16.0,2.057,4.5,"['waffle', 'buttermilk', 'frozen', 'ready-to-heat', 'microwaved']",False,False,False,['buttermilk'],"['frozen', 'ready-to-heat', 'microwaved']",['Waffle'],"['frozen', 'microwaved']",['ready']
167519,sr_legacy_food,"Waffle, plain, frozen, ready-to-heat, microwave",6.71,9.91,45.41,298.0,2.4,682.0,16.0,1.58,5.04,"['waffle', 'plain', 'frozen', 'ready-to-heat', 'microwave']",False,False,False,[],"['plain', 'frozen', 'ready-to-heat', 'microwave']",['Waffle'],['frozen'],"['plain', 'ready']"
167520,sr_legacy_food,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",5.1,24.83,64.3,501.0,1.9,471.0,0.0,4.999,18.13,"['pie crust', 'cookie-type', 'graham cracker', 'ready crust']",False,False,False,[],"['Graham Cracker', 'Ready Crust']","['Pie Crust', 'Cookie-type', 'Graham Cracker']",[],['Ready']
167521,sr_legacy_food,"Pie Crust, Cookie-type, Chocolate, Ready Crust",6.08,22.42,64.48,484.0,2.7,503.0,0.0,4.725,26.31,"['pie crust', 'cookie-type', 'chocolate', 'ready crust']",False,False,False,['Ready Crust'],"['Chocolate', 'Ready Crust']","['Pie Crust', 'Cookie-type']",[],['Ready']
167522,sr_legacy_food,"Pie, Dutch Apple, Commercially Prepared",2.17,11.5,44.54,290.0,1.6,200.0,0.0,2.313,22.02,"['pie', 'dutch apple', 'commercially prepared']",False,False,False,['Commercially Prepared'],"['Dutch Apple', 'Commercially Prepared']","['Pie', 'Dutch Apple']",['Prepared'],['Dutch']
167523,sr_legacy_food,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",5.52,28.74,46.79,468.0,1.4,353.0,,8.129,,"['pie crust', 'deep dish', 'frozen', 'unbaked', 'made with enriched flour']",False,False,False,[],"['frozen', 'unbaked']","['Pie crust', 'deep dish']","['frozen', 'unbaked', 'made', 'enriched']",['deep']
