fdc_id,description,product,item_prices,item_unit_prices,item_routes,matched_variations,unpriced_items,priced_items,total_items,priced_share,items_without_unit_price,adj,verb,total_price,basket_per_100,protein_g,fat_g,carb_g,energy_kcal,fiber_g,sodium_mg,cholesterol_mg,satfat_g,sugars_g
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","['layer buttermilk biscuits', 'dough']","{'layer buttermilk biscuits': {'price': 3.74, 'quantity': [31.0, 32.0, 50.0, 70.0, 193.2, 200.0, 234.0, 260.0, 360.0, 600.0]}}",{'layer buttermilk biscuits': 2.1706},{'layer buttermilk biscuits': 'average'},{},['dough'],1,2,0.5,0,"['Golden', 'Artificial']",['refrigerated'],0.0,0.0,5.88,13.24,41.18,307.0,1.2,1059.0,0.0,2.941,5.88
167516,"Waffles, buttermilk, frozen, ready-to-heat",['waffles'],"{'waffles': {'price': 3.97, 'quantity': [100.0, 200.0]}}",{'waffles': 3.0833},{'waffles': 'average'},{},[],1,1,1.0,0,['ready'],['frozen'],3.97,3.08,6.58,9.22,41.05,273.0,2.2,621.0,15.0,1.898,4.3
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",['waffle'],"{'waffle': {'price': 3.97, 'quantity': [100.0, 200.0]}}",{'waffle': 3.0833},{'waffle': 'average'},{},[],1,1,1.0,0,['ready'],"['frozen', 'toasted']",3.97,3.08,7.42,9.49,48.39,309.0,2.6,710.0,13.0,2.275,4.41
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",['waffle'],"{'waffle': {'price': 3.97, 'quantity': [100.0, 200.0]}}",{'waffle': 3.0833},{'waffle': 'average'},{},[],1,1,1.0,0,['ready'],"['frozen', 'microwaved']",3.97,3.08,6.92,9.4,44.16,289.0,2.4,663.0,16.0,2.057,4.5
167519,"Waffle, plain, frozen, ready-to-heat, microwave",['waffle'],"{'waffle': {'price': 3.97, 'quantity': [100.0, 200.0]}}",{'waffle': 3.0833},{'waffle': 'average'},{},[],1,1,1.0,0,"['plain', 'ready']",['frozen'],3.97,3.08,6.71,9.91,45.41,298.0,2.4,682.0,16.0,1.58,5.04
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","['pie crust', 'cookie type', 'graham cracker']","{'graham cracker': {'price': 3.37, 'quantity': [187.0, 190.0, 220.0, 225.0, 416.0]}}",{'graham cracker': 1.3451},{'graham cracker': 'average'},{},"['pie crust', 'cookie type']",1,3,0.3333333333333333,0,['Ready'],[],0.0,0.0,5.1,24.83,64.3,501.0,1.9,471.0,0.0,4.999,18.13
167522,"Pie, Dutch Apple, Commercially Prepared","['pie', 'apple']","{'pie': {'price': 2.3, 'quantity': [138.0, 180.0]}, 'apple': {'price': 5.22, 'quantity': [500.0, 700.0]}}","{'pie': 1.375, 'apple': 0.7934}","{'pie': 'average', 'apple': 'average'}",{},[],2,2,1.0,0,['Dutch'],['Prepared'],7.52,2.17,2.17,11.5,44.54,290.0,1.6,200.0,0.0,2.313,22.02
167524,"Waffles, chocolate chip, frozen, ready-to-heat",['waffles'],"{'waffles': {'price': 3.97, 'quantity': [100.0, 200.0]}}",{'waffles': 3.0833},{'waffles': 'average'},{},[],1,1,1.0,0,['ready'],['frozen'],3.97,3.08,5.8,10.1,45.68,297.0,1.5,529.0,21.0,3.567,13.1
167525,"Tostada shells, corn","['tostada shells', 'corn']","{'tostada shells': {'price': 17.5, 'quantity': 1000.0}, 'corn': {'price': 3.58, 'quantity': [100.0, 140.0, 300.0, 330.0, 500.0]}}","{'tostada shells': 1.75, 'corn': 1.33}","{'tostada shells': 'average', 'corn': 'average'}",{},[],2,2,1.0,0,[],[],21.08,3.08,6.15,23.38,64.43,474.0,5.8,657.0,,7.011,
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","['bread', 'cheese']","{'bread': {'price': 3.15, 'quantity': 1000.0}, 'cheese': {'price': 10.36, 'quantity': [100.0, 140.0, 150.0, 160.0, 200.0, 250.0, 330.0, 430.0, 600.0, 2000.0]}}","{'bread': 0.315, 'cheese': 4.0413}","{'bread': 'average', 'cheese': 'average'}",{},[],2,2,1.0,0,"['salvadoran', 'sweet']",[],13.51,4.36,7.12,17.12,47.84,374.0,0.7,510.0,59.0,4.612,24.9
167527,"Bread, pound cake type, pan de torta salvadoran","['bread', 'pound cake type', 'pan de torta']","{'bread': {'price': 3.15, 'quantity': 1000.0}}",{'bread': 0.315},{'bread': 'average'},{},"['pound cake type', 'pan de torta']",1,3,0.3333333333333333,0,[],[],0.0,0.0,7.06,17.45,51.29,390.0,1.7,390.0,,3.042,18.1
167528,"Pastry, Pastelitos de Guava (guava pastries)","['pastry', 'pastelitos de guava', 'guava pastries']","{'pastry': {'price': 3.13, 'quantity': 550.0}, 'pastelitos de guava': {'price': 4.66, 'quantity': [500.0, 600.0, 950.0]}}","{'pastry': 0.5691, 'pastelitos de guava': 0.7711}","{'pastry': 'average', 'pastelitos de guava': 'average'}",{},['guava pastries'],2,3,0.6666666666666666,0,[],[],0.0,0.0,5.48,18.5,47.76,379.0,2.2,231.0,10.0,5.535,17.0
167529,"Crackers, snack, Goya Crackers","['crackers', 'snack']","{'crackers': {'price': 3.37, 'quantity': [187.0, 190.0, 220.0, 225.0, 416.0]}, 'snack': {'price': 7.47, 'quantity': 350.0}}","{'crackers': 1.3451, 'snack': 2.1333}","{'crackers': 'average', 'snack': 'average'}",{},[],2,2,1.0,0,[],[],10.84,3.48,14.25,13.35,64.35,433.0,3.8,665.0,,6.323,2.35
167530,"Crackers, cream, Gamesa Sabrosas","['crackers', 'cream']","{'crackers': {'price': 3.37, 'quantity': [187.0, 190.0, 220.0, 225.0, 416.0]}, 'cream': {'price': 10.55, 'quantity': [28.0, 60.0, 80.0, 110.0, 170.0, 200.0, 210.0, 250.0, 300.0, 330.0, 350.0, 390.0, 454.0, 473.0, 600.0, 1000.0, 1400.0]}}","{'crackers': 1.3451, 'cream': 3.2218}","{'crackers': 'average', 'cream': 'average'}",{},[],2,2,1.0,0,[],[],13.92,4.57,7.01,20.37,64.55,484.0,2.4,1148.0,,5.362,9.37
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",['crackers'],"{'crackers': {'price': 2.5, 'quantity': 428.0}}",{'crackers': 0.5841},{'crackers': 'variation'},{'crackers': 'cream hup seng'},[],1,1,1.0,0,[],[],2.5,0.58,7.19,19.5,64.88,464.0,2.4,752.0,,2.634,10.41
167532,"Bread, white wheat",['bread'],"{'bread': {'price': 3.15, 'quantity': 1000.0}}",{'bread': 0.315},{'bread': 'average'},{},[],1,1,1.0,0,['white'],[],3.15,0.32,10.66,2.15,43.91,238.0,9.2,478.0,0.0,0.63,5.0
167534,"Cream puff, eclair, custard or cream filled, iced","['cream puff', 'eclair']","{'cream puff': {'price': 1.5, 'quantity': 65.0}}",{'cream puff': 2.3077},{'cream puff': 'average'},{},['eclair'],1,2,0.5,0,[],"['filled', 'iced']",0.0,0.0,4.41,18.52,37.43,334.0,0.9,265.0,66.0,7.055,22.05
167536,"Snacks, beef jerky, chopped and formed","['snacks', 'beef jerky']","{'snacks': {'price': 7.47, 'quantity': 350.0}}",{'snacks': 2.1333},{'snacks': 'average'},{},['beef jerky'],1,2,0.5,0,[],"['chopped', 'formed']",0.0,0.0,33.2,25.6,11.0,410.0,1.8,1785.0,48.0,10.85,9.0
167537,"Snacks, corn-based, extruded, chips, plain","['snacks', 'corn', 'chips']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'corn': {'price': 3.58, 'quantity': [100.0, 140.0, 300.0, 330.0, 500.0]}, 'chips': {'price': 7.52, 'quantity': [285.0, 326.0, 340.0, 500.0]}}","{'snacks': 2.1333, 'corn': 1.33, 'chips': 2.1508}","{'snacks': 'average', 'corn': 'average', 'chips': 'average'}",{},[],3,3,1.0,0,['plain'],"['based', 'extruded']",18.57,5.61,6.17,33.36,57.27,539.0,4.0,514.0,0.0,4.331,0.27
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor","['snacks', 'corn', 'chips']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'corn': {'price': 3.58, 'quantity': [100.0, 140.0, 300.0, 330.0, 500.0]}, 'chips': {'price': 7.52, 'quantity': [285.0, 326.0, 340.0, 500.0]}}","{'snacks': 2.1333, 'corn': 1.33, 'chips': 2.1508}","{'snacks': 'average', 'corn': 'average', 'chips': 'average'}",{},[],3,3,1.0,0,[],"['based', 'extruded']",18.57,5.61,7.0,32.7,56.2,523.0,5.2,763.0,0.0,4.46,
167539,"Snacks, corn-based, extruded, cones, plain","['snacks', 'corn']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'corn': {'price': 3.58, 'quantity': [100.0, 140.0, 300.0, 330.0, 500.0]}}","{'snacks': 2.1333, 'corn': 1.33}","{'snacks': 'average', 'corn': 'average'}",{},[],2,2,1.0,0,['plain'],"['based', 'extruded']",11.05,3.46,5.8,26.9,62.9,510.0,1.1,1022.0,0.0,22.75,
167540,"Snacks, fruit leather, pieces","['snacks', 'fruit leather']","{'snacks': {'price': 7.47, 'quantity': 350.0}}",{'snacks': 2.1333},{'snacks': 'average'},{},['fruit leather'],1,2,0.5,0,[],[],0.0,0.0,1.0,2.68,82.82,359.0,0.0,199.0,0.0,0.65,57.58
167541,"Snacks, fruit leather, rolls","['snacks', 'fruit leather', 'rolls']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'rolls': {'price': 8.43, 'quantity': [180.0, 250.0, 279.0, 300.0, 400.0, 500.0, 1440.0]}}","{'snacks': 2.1333, 'rolls': 2.7574}","{'snacks': 'average', 'rolls': 'average'}",{},['fruit leather'],2,3,0.6666666666666666,0,[],[],0.0,0.0,0.1,3.0,85.8,371.0,0.0,317.0,0.0,0.672,49.16
167542,"Snacks, granola bars, hard, plain","['snacks', 'granola bars']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}}","{'snacks': 2.1333, 'granola bars': 2.8381}","{'snacks': 'average', 'granola bars': 'average'}",{},[],2,2,1.0,0,"['hard', 'plain']",[],13.43,4.97,10.1,19.8,64.4,471.0,5.3,294.0,0.0,2.37,28.57
167543,"Snacks, granola bars, hard, almond","['snacks', 'granola bars']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}}","{'snacks': 2.1333, 'granola bars': 2.8381}","{'snacks': 'average', 'granola bars': 'average'}",{},[],2,2,1.0,0,['hard'],[],13.43,4.97,7.7,25.5,62.0,495.0,4.8,256.0,0.0,12.51,
167544,"Snacks, granola bars, soft, uncoated, raisin","['snacks', 'granola bars']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}}","{'snacks': 2.1333, 'granola bars': 2.8381}","{'snacks': 'average', 'granola bars': 'average'}",{},[],2,2,1.0,0,"['soft', 'uncoated']",[],13.43,4.97,7.6,17.8,66.4,448.0,4.2,282.0,0.0,9.57,
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","['snacks', 'granola bars', 'chocolate chip']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}, 'chocolate chip': {'price': 7.35, 'quantity': 285.0}}","{'snacks': 2.1333, 'granola bars': 2.8381, 'chocolate chip': 2.5789}","{'snacks': 'average', 'granola bars': 'average', 'chocolate chip': 'average'}",{},[],3,3,1.0,0,"['soft', 'coated']",[],20.78,7.55,5.8,24.9,63.8,466.0,3.4,200.0,5.0,14.22,
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","['snacks', 'granola bars', 'peanut butter']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}, 'peanut butter': {'price': 7.47, 'quantity': [90.0, 120.0, 160.0, 200.0, 227.0, 250.0]}}","{'snacks': 2.1333, 'granola bars': 2.8381, 'peanut butter': 3.9186}","{'snacks': 'average', 'granola bars': 'average', 'peanut butter': 'average'}",{},[],3,3,1.0,0,"['soft', 'coated']",[],20.9,8.89,10.2,31.1,53.4,508.0,2.8,193.0,12.0,17.01,23.74
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","['snacks', 'granola bars']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'granola bars': {'price': 5.96, 'quantity': 210.0}}","{'snacks': 2.1333, 'granola bars': 2.8381}","{'snacks': 'average', 'granola bars': 'average'}",{},[],2,2,1.0,0,"['soft', 'uncoated']",[],13.43,4.97,9.8,20.0,62.2,432.0,4.2,328.0,1.0,5.59,
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","['snacks', 'popcorn', 'microwave']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'popcorn': {'price': 6.63, 'quantity': [60.0, 80.0, 100.0, 120.0, 149.0]}}","{'snacks': 2.1333, 'popcorn': 6.1237}","{'snacks': 'average', 'popcorn': 'average'}",{},['microwave'],2,3,0.6666666666666666,0,"['regular', 'trans']",['popped'],0.0,0.0,7.29,43.55,45.06,583.0,8.1,909.0,0.0,6.82,0.46
167550,"Snacks, popcorn, cakes","['snacks', 'popcorn', 'cakes']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'popcorn': {'price': 6.63, 'quantity': [60.0, 80.0, 100.0, 120.0, 149.0]}, 'cakes': {'price': 5.79, 'quantity': [45.0, 90.0, 120.0, 160.0, 200.0, 210.0, 220.0, 221.0, 230.0, 267.0, 300.0, 320.0, 415.0]}}","{'snacks': 2.1333, 'popcorn': 6.1237, 'cakes': 3.209}","{'snacks': 'average', 'popcorn': 'average', 'cakes': 'average'}",{},[],3,3,1.0,0,[],[],19.89,11.47,9.7,3.1,80.1,384.0,2.9,288.0,0.0,0.48,0.72
167551,"Snacks, popcorn, caramel-coated, with peanuts","['snacks', 'popcorn']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'popcorn': {'price': 6.63, 'quantity': [60.0, 80.0, 100.0, 120.0, 149.0]}}","{'snacks': 2.1333, 'popcorn': 6.1237}","{'snacks': 'average', 'popcorn': 'average'}",{},[],2,2,1.0,0,[],['coated'],14.1,8.26,6.4,7.8,80.7,400.0,3.8,177.0,0.0,1.04,45.36
167552,"Snacks, popcorn, caramel-coated, without peanuts","['snacks', 'popcorn']","{'snacks': {'price': 7.47, 'quantity': 350.0}, 'popcorn': {'price': 6.63, 'quantity': [60.0, 80.0, 100.0, 120.0, 149.0]}}","{'snacks': 2.1333, 'popcorn': 6.1237}","{'snacks': 'average', 'popcorn': 'average'}",{},[],2,2,1.0,0,[],['coated'],14.1,8.26,3.8,12.8,79.1,431.0,5.2,206.0,0.0,3.61,53.19
