fdc_id,description,product,item_prices,unpriced_items,priced_items,total_items,priced_share,adj,verb,total_price
167522,"Pie, Dutch Apple, Commercially Prepared","['pie', 'apple']",{'apple': 5.9},['pie'],1,2,0.5,['Dutch'],['Prepared'],0.0
167525,"Tostada shells, corn","['tostada shells', 'corn']","{'tostada shells': 17.5, 'corn': 3.08}",[],2,2,1.0,[],[],20.58
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","['bread', 'cheese']","{'bread': 3.15, 'cheese': 8.5}",[],2,2,1.0,"['salvadoran', 'sweet']",[],11.65
167527,"Bread, pound cake type, pan de torta salvadoran","['bread', 'pound cake type', 'pan de torta']",{'bread': 3.15},"['pound cake type', 'pan de torta']",1,3,0.3333333333333333,[],[],0.0
167528,"Pastry, Pastelitos de Guava (guava pastries)","['pastry', 'pastelitos de guava', 'guava pastries']","{'pastry': 3.13, 'pastelitos de guava': 5.08}",['guava pastries'],2,3,0.6666666666666666,[],[],0.0
167529,"Crackers, snack, Goya Crackers","['crackers', 'snack']",{'snack': 9.22},['crackers'],1,2,0.5,[],[],0.0
167530,"Crackers, cream, Gamesa Sabrosas","['crackers', 'cream']",{'cream': 5.5},['crackers'],1,2,0.5,[],[],0.0
167532,"Bread, white wheat",['bread'],{'bread': 3.15},[],1,1,1.0,['white'],[],3.15
167534,"Cream puff, eclair, custard or cream filled, iced","['cream puff', 'eclair']",{'cream puff': 1.5},['eclair'],1,2,0.5,[],"['filled', 'iced']",0.0
167536,"Snacks, beef jerky, chopped and formed","['snacks', 'beef jerky']",{'snacks': 9.22},['beef jerky'],1,2,0.5,[],"['chopped', 'formed']",0.0
167537,"Snacks, corn-based, extruded, chips, plain","['snacks', 'corn', 'chips']","{'snacks': 9.22, 'corn': 3.08, 'chips': 7.6}",[],3,3,1.0,['plain'],"['based', 'extruded']",19.9
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor","['snacks', 'corn', 'chips']","{'snacks': 9.22, 'corn': 3.08, 'chips': 7.6}",[],3,3,1.0,[],"['based', 'extruded']",19.9
167539,"Snacks, corn-based, extruded, cones, plain","['snacks', 'corn']","{'snacks': 9.22, 'corn': 3.08}",[],2,2,1.0,['plain'],"['based', 'extruded']",12.3
167540,"Snacks, fruit leather, pieces","['snacks', 'fruit leather']",{'snacks': 9.22},['fruit leather'],1,2,0.5,[],[],0.0
167541,"Snacks, fruit leather, rolls","['snacks', 'fruit leather', 'rolls']","{'snacks': 9.22, 'rolls': 7.45}",['fruit leather'],2,3,0.6666666666666666,[],[],0.0
167542,"Snacks, granola bars, hard, plain","['snacks', 'granola bars']","{'snacks': 9.22, 'granola bars': 7.56}",[],2,2,1.0,"['hard', 'plain']",[],16.78
167543,"Snacks, granola bars, hard, almond","['snacks', 'granola bars']","{'snacks': 9.22, 'granola bars': 7.56}",[],2,2,1.0,['hard'],[],16.78
167544,"Snacks, granola bars, soft, uncoated, raisin","['snacks', 'granola bars']","{'snacks': 9.22, 'granola bars': 7.56}",[],2,2,1.0,"['soft', 'uncoated']",[],16.78
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","['snacks', 'granola bars', 'chocolate chip']","{'snacks': 9.22, 'granola bars': 7.56, 'chocolate chip': 5.97}",[],3,3,1.0,"['soft', 'coated']",[],22.75
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","['snacks', 'granola bars', 'peanut butter']","{'snacks': 9.22, 'granola bars': 7.56, 'peanut butter': 8.1}",[],3,3,1.0,"['soft', 'coated']",[],24.88
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","['snacks', 'granola bars']","{'snacks': 9.22, 'granola bars': 7.56}",[],2,2,1.0,"['soft', 'uncoated']",[],16.78
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","['snacks', 'popcorn', 'microwave']",{'snacks': 9.22},"['popcorn', 'microwave']",1,3,0.3333333333333333,"['regular', 'trans']",['popped'],0.0
167550,"Snacks, popcorn, cakes","['snacks', 'popcorn', 'cakes']","{'snacks': 9.22, 'cakes': 4.4}",['popcorn'],2,3,0.6666666666666666,[],[],0.0
167551,"Snacks, popcorn, caramel-coated, with peanuts","['snacks', 'popcorn']",{'snacks': 9.22},['popcorn'],1,2,0.5,[],['coated'],0.0
167552,"Snacks, popcorn, caramel-coated, without peanuts","['snacks', 'popcorn']",{'snacks': 9.22},['popcorn'],1,2,0.5,[],['coated'],0.0
167553,"Snacks, potato chips, made from dried potatoes, reduced fat","['snacks', 'potato chips', 'potatoes']","{'snacks': 9.22, 'potato chips': 7.6, 'potatoes': 4.17}",[],3,3,1.0,[],"['made', 'dried', 'reduced']",20.99
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","['snacks', 'potato chips']","{'snacks': 9.22, 'potato chips': 7.6}",[],2,2,1.0,[],"['made', 'dried']",16.82
167555,"Snacks, pretzels, hard, plain, salted","['snacks', 'pretzels']",{'snacks': 9.22},['pretzels'],1,2,0.5,"['hard', 'plain']",['salted'],0.0
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","['snacks', 'pretzels', 'confectioner s coating']",{'snacks': 9.22},"['pretzels', 'confectioner s coating']",1,3,0.3333333333333333,['hard'],[],0.0
167557,"Snacks, rice cakes, brown rice, sesame seed","['snacks', 'rice cakes', 'rice', 'sesame seed']","{'snacks': 9.22, 'rice cakes': 5.12, 'rice': 11.0, 'sesame seed': 1.53}",[],4,4,1.0,['brown'],[],26.87
