term,occurrences,rank,product_id,category,name,price_value,quantity,dietary
formula,168,1,13013346,baby-child-toys,Palmer's Cocoa Butter Formula Massage Lotion for Stretch Marks,29.07,250ml,
formula,168,2,13200320,baby-child-toys,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,104.95,1.65kg,Halal
formula,168,3,13226927,baby-child-toys,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,55.45,800g,
formula,168,4,13131001,baby-child-toys,Abbott Grow Toddler Stage 3 Milk Formula – 1 to 3 Years,30.18,900g,Halal
formula,168,5,13263704,baby-child-toys,Aptamil Gold+ Toddler Growing Up Milk Formula - Stage 3,92.4,2 x 900g,Halal
formula,168,6,13165079,baby-child-toys,Nature One Dairy Premium Milk Drink Formula - Step 3,33.2,900g,
formula,168,7,13216338,baby-child-toys,Nestle Nan Supremepro H.A Milk Formula - Stage 3,58.8,800g,Halal
formula,168,8,13050946,baby-child-toys,Wyeth S26 Promise Gold Grow Up Milk Formula - Step 4,73.8,1.6kg,Halal
formula,168,9,13057291,baby-child-toys,Abbott Isomil Growing Up Soy Milk Formula - Step 3,71.3,850g,
formula,168,10,13200334,baby-child-toys,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 4,83.3,1.65kg,Halal
formula,168,11,13050947,baby-child-toys,Wyeth S26 Gold Progress Grow Up Milk Formula - Step 3,87.3,1.6kg,Halal
formula,168,12,12711454,baby-child-toys,Aptamil Gold+ Toddler Growing Up Milk Formula - Stage 3,286.9,6 x 900g (CTN),
formula,168,13,13210795,baby-child-toys,Karihome Goat Milk Growing Up Formula - Stage 3,58.83,900g,Halal
formula,168,14,13275383,baby-child-toys,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,178.9,2 x 1.65kg,
formula,168,15,13263703,baby-child-toys,Aptamil Gold+ Junior Growing Up Milk Formula - Stage 4,77.9,2 x 900g,Halal
formula,168,16,12619732,baby-child-toys,Abbott Grow School Stage 5 Milk Formula – 6 Years Onwards,73.83,1.8kg,Halal
formula,168,17,13012302,baby-child-toys,Abbott Similac Total Comfort Growing Up Milk Formula - Stage 3,69.75,820g,Halal
formula,168,18,13280061,baby-child-toys,Nestle Lactogen Growing Up Milk Formula - Stage 3,45.0,1.6kg,Halal
formula,168,19,12619695,baby-child-toys,Abbott Grow School Stage 5 Milk Formula – 6 Years Onwards,40.07,900g,Halal
formula,168,20,13210794,baby-child-toys,Karihome Goat Milk Pre-School Formula - Stage 4,58.83,900g,Halal
sandwich,177,1,12083675,snacks--confectionery,Julie's Sandwich Biscuits - Peanut Butter,5.6,360g (12 per pack),
sandwich,177,2,13012296,snacks--confectionery,Oreo Sandwich Cookie Multipack - Vanilla,3.05,236.2g,Halal
sandwich,177,3,13160723,snacks--confectionery,Ritz Sandwich Biscuits Multipack - Cheese Cream,3.0,243g,Halal
sandwich,177,4,10797324,snacks--confectionery,Khong Guan Sandwich Biscuits - Lemon Puff,2.8,260g (12 per pack),
sandwich,177,5,13212611,snacks--confectionery,Oreo Sandwich Cookies Multipack - Mildly Sweet,3.05,248.4g,Halal
sandwich,177,6,12021917,snacks--confectionery,Julie's Sandwich Biscuits - Cheese,5.6,336g (12 per pack),
