term,occurrences,rank,product_id,name,price_value,quantity,dietary
formula,168,1,13013346,Palmer's Cocoa Butter Formula Massage Lotion for Stretch Marks,29.07,250ml,
formula,168,2,13200320,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,104.95,1.65kg,Halal
formula,168,3,13226927,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,55.45,800g,
formula,168,4,13131001,Abbott Grow Toddler Stage 3 Milk Formula – 1 to 3 Years,30.18,900g,Halal
formula,168,5,13263704,Aptamil Gold+ Toddler Growing Up Milk Formula - Stage 3,92.4,2 x 900g,Halal
formula,168,6,13165079,Nature One Dairy Premium Milk Drink Formula - Step 3,33.2,900g,
formula,168,7,13216338,Nestle Nan Supremepro H.A Milk Formula - Stage 3,58.8,800g,Halal
formula,168,8,13050946,Wyeth S26 Promise Gold Grow Up Milk Formula - Step 4,73.8,1.6kg,Halal
formula,168,9,13057291,Abbott Isomil Growing Up Soy Milk Formula - Step 3,71.3,850g,
formula,168,10,13200334,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 4,83.3,1.65kg,Halal
formula,168,11,13050947,Wyeth S26 Gold Progress Grow Up Milk Formula - Step 3,87.3,1.6kg,Halal
formula,168,12,12711454,Aptamil Gold+ Toddler Growing Up Milk Formula - Stage 3,286.9,6 x 900g (CTN),
formula,168,13,13210795,Karihome Goat Milk Growing Up Formula - Stage 3,58.83,900g,Halal
formula,168,14,13275383,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 3,178.9,2 x 1.65kg,
formula,168,15,13263703,Aptamil Gold+ Junior Growing Up Milk Formula - Stage 4,77.9,2 x 900g,Halal
formula,168,16,12619732,Abbott Grow School Stage 5 Milk Formula – 6 Years Onwards,73.83,1.8kg,Halal
formula,168,17,13012302,Abbott Similac Total Comfort Growing Up Milk Formula - Stage 3,69.75,820g,Halal
formula,168,18,13280061,Nestle Lactogen Growing Up Milk Formula - Stage 3,45.0,1.6kg,Halal
formula,168,19,12619695,Abbott Grow School Stage 5 Milk Formula – 6 Years Onwards,40.07,900g,Halal
formula,168,20,13210794,Karihome Goat Milk Pre-School Formula - Stage 4,58.83,900g,Halal
sandwich,177,1,12083675,Julie's Sandwich Biscuits - Peanut Butter,5.6,360g (12 per pack),
sandwich,177,2,13012296,Oreo Sandwich Cookie Multipack - Vanilla,3.05,236.2g,Halal
sandwich,177,3,13160723,Ritz Sandwich Biscuits Multipack - Cheese Cream,3.0,243g,Halal
sandwich,177,4,10797324,Khong Guan Sandwich Biscuits - Lemon Puff,2.8,260g (12 per pack),
sandwich,177,5,13212611,Oreo Sandwich Cookies Multipack - Mildly Sweet,3.05,248.4g,Halal
sandwich,177,6,12021917,Julie's Sandwich Biscuits - Cheese,5.6,336g (12 per pack),
sandwich,177,7,12599807,Julie's Le-Mond Sandwich Biscuits - Lemon,3.26,170g,
sandwich,177,8,13175396,Oreo Mini Sandwich Cookies Sharepack - Vanilla,4.0,163.2g,
sandwich,177,9,13013277,Munchy's Lexus Sandwich Calcium Crackers - Chocolate,3.63,190g,
sandwich,177,10,11167455,Cowhead Sandwich Crackers with Calcium - Cheese,2.65,190g (8 per pack),
sandwich,177,11,13160720,Ritz Sandwich Biscuits Multipack - Lemon Cream,3.0,243g,
sandwich,177,12,13289746,Oreo Sandwich Cookie Multipack - Purple Brown Sugar (BTS),3.05,236.25g,Halal
sandwich,177,13,13013279,Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,3.63,190g,
sandwich,177,14,13102645,Jack 'n Jill Dewberry Sandwich Biscuits - Strawberry,3.3,12 x 27g,
sandwich,177,15,11167498,Cowhead Sandwich Crackers with Calcium - Milk,2.86,190g (8 per pack),
sandwich,177,16,13098765,Oreo Sandwich Cookies Multipack - Dark & White Chocolate,3.05,236.25g,Halal
sandwich,177,17,13030696,Munchy's Lexus Sandwich Biscuits - Chocolate,3.63,200g,Halal
sandwich,177,18,13012298,Oreo Sandwich Cookie Multipack - Chocolate,3.05,236.25g,Halal
sandwich,177,19,13013276,Munchy’s Lexus Sandwich Calcium Crackers - Cheese,3.63,190g,
sandwich,177,20,13102644,Jack 'n Jill Dewberry Sandwich Biscuits - Blueberry,3.3,12 x 27g,Halal
cereals,176,1,13208400,Nestle Trix Cereal,6.97,330g,Halal
cereals,176,2,13206550,Nestle Koko Krunch Economic Pack,8.5,450g,Halal
cereals,176,3,10591166,Nestle Cereal - Variety School Pack,4.9,6 x 20g / 25g,Halal
cereals,176,4,80440,Nestle Cereal - Milo,4.0,150g,Halal
cereals,176,5,13020957,Post Great Grains Cereal - Banana Nut Crunch,6.5,439g,
cereals,176,6,13018680,Post Great Grains Cereal - Blueberry Morning,6.5,382g,
cereals,176,7,13206560,Nestle Milo Cereal Economic Pack,8.5,450g,Halal
cereals,176,8,13184589,Nestle Cereal - Gold Cornflakes,5.95,500g,
cereals,176,9,13021420,Post Great Grains Cereal - Cranberry Almond Crunch,6.5,396g,
cereals,176,10,11042329,Kellogg's Cereal - Cornflakes (Jumbo Pack),6.7,500g,
cereals,176,11,114843,Nestle Cereal - Koko Krunch,6.46,300g,Halal
cereals,176,12,13245073,Nestle Cereal - Milo,1.64,70g,Halal
cereals,176,13,13206570,Nestle Cereal - Honey Stars Econopack,8.5,450g,Halal
cereals,176,14,10613679,Nestle Cereal - Milo,5.65,300g,Halal
cereals,176,15,13174343,Post Cereals - Waffle Crisp,7.52,326g,
cereals,176,16,12620098,Sanitarium Weet-Bix Breakfast Cereal,9.04,750g,
cereals,176,17,13021613,Post Great Grains Cereal - Raisins- Dates & Pecans,6.5,453g,
cereals,176,18,13021228,Post Great Grains Cereal - Crunchy Pecan,6.5,453g,
cereals,176,19,13180964,Kellogg's Cereal - Froot Loops,8.9,400g,Halal
cereals,176,20,13093016,Nestle Cereal - Cheerios (Multi Grain),7.0,300g,Halal
beverages,90,1,13280708,[BCRS] Pokka Can Drink - Oolong Tea (No Sugar Added),7.75,12 x 300ml,Halal
beverages,90,2,13281432,[BCRS] Maison Perrier Forever Sparkling Beverage - Lemon,17.55,10 x 250ml,
beverages,90,3,13281660,[BCRS] Maison Perrier Forever Sparkling Beverage - Strawberry,17.55,10 x 250ml,
beverages,90,4,13280982,[BCRS] Pokka Bottle Drink - Jasmine Green Tea,2.25,1.5L,Halal
beverages,90,5,13281654,[BCRS] Maison Perrier Forever Sparkling Beverage - Lime,8.95,4 x 330ml,
beverages,90,6,13281627,[BCRS] Maison Perrier Forever Sparkling Beverage - Peach,17.55,10 x 250ml,
beverages,90,7,13281639,[BCRS] Maison Perrier Forever Sparkling Beverage - Lemon,8.95,4 x 330ml,
beverages,90,8,13280991,[BCRS] Pokka Can Drink - Jasmine Green Tea,4.25,6 x 300ml,Halal
beverages,90,9,12700043,Milo Chocolate Malt Milk UHT Packet Drink,16.95,24 x 200ml (CTN),
beverages,90,10,12714896,[BCRS] 100 Plus Isotonic Can Drink - Original,16.81,24 x 325ml,Halal
beverages,90,11,13281102,[BCRS] Fuze Tea Flavoured Tea Bottle Drink - Passionfruit,1.85,1.5L,Halal
beverages,90,12,10003037,Pokka Packet Drink - Jasmine Green Tea,3.6,6 x 250ml,Halal
beverages,90,13,13281379,[BCRS] Coca-Cola Mini Can Drink - Classic,5.25,6 x 180ml,Halal
beverages,90,14,13281050,[BCRS] Pokka Can Drink - Jasmine Green Tea,7.75,12 x 300ml (CTN),Halal
beverages,90,15,12714768,[BCRS] FairPrice Pure Drinking Bottle Water,7.2,24 x 600ml,
beverages,90,16,12714947,[BCRS] Dasani Drinking Bottle Water,8.4,12 x 1.5L,
beverages,90,17,12708770,Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar,19.5,24 x 200ml (CTN),Halal
beverages,90,18,12714946,[BCRS] Dasani Drinking Bottle Water,8.4,24 x 600ml (CTN),
beverages,90,19,13281362,[BCRS] Coca-Cola Can Drink - Zero Sugar,8.75,12 x 320ml,
beverages,90,20,12704723,Pokka Packet Drink - Oolong Tea (No Sugar Added),7.55,24 x 250ml (CTN),Halal
beverages,90,21,12714758,[BCRS] Life Distilled Drinking Bottle Water,7.0,12 x 1.5L,
beverages,90,22,13281412,[BCRS] Coca-Cola Mini Can Drink - Zero Sugar,5.25,6 x 180ml,Halal
beverages,90,23,13281057,[BCRS] Coca-Cola Bottle Drink - Zero Sugar,2.6,1.5L,
beverages,90,24,13281620,[BCRS] Coca-Cola Original Taste - Less Sugar,16.95,24 x 320ml,
beverages,90,25,11520415,Marigold Packet Drink - Chrysanthemum Tea (LessSweet),8.8,24 x 250ml (CTN),Halal
beverages,90,26,12714970,[BCRS] F & N Ice Mountain Drinking Bottle Water,9.85,24 x 600ml,Halal
candies,104,1,13083487,Skittles Candies - Original (Fun Size Bag),5.14,10 x 15g,Halal
candies,104,2,225830,Mentos Chewy Dragees - Mint (Share- A-Bowl),1.9,135g,
candies,104,3,13249621,Hi-Chew Chewy Candy - Grape and Green Apple,2.8,100g,
candies,104,4,13269335,Skittles Gummies - Fruit,2.0,42.5g,
candies,104,5,13250100,Hi-Chew Chewy Candy - Grape and Strawberry,2.8,100g,
candies,104,6,13250090,Hi-Chew Chewy Candy - Grape and Peach and Lychee,2.8,100g,
candies,104,7,13023349,Mentos Mini Chewy Dragees - Rainbow,1.9,120g,
candies,104,8,13240793,Eclipse Plus Soothing Herbal Mint - Loquat Pear,3.85,30g,
candies,104,9,13070283,TNCC Chews Candies - Sour,4.95,180g,
candies,104,10,13205856,Hi-Chew Chewy Candy - Soda Pop,2.8,90g,
candies,104,11,11583571,Wrigley's Eclipse Sugar Free Mints Candy - Spearmint,3.84,35g,
candies,104,12,13052399,Wrigley's Eclipse Sugar Free Mints Candy - Berry,3.84,35g,Halal
candies,104,13,13035327,Mentos Chewy Dragees - Fruit,7.74,540g (200 per pack),Halal
candies,104,14,13269336,Skittles Gummies - Yogurt,2.0,42.5g,
candies,104,15,13035326,Mentos Chewy Dragees - Mint,7.74,200 per pack,
candies,104,16,13143031,Mentos Chewy Dragees - Mint,2.29,3 x 37.5g,Halal
candies,104,17,90022450,Train Haw Jelly,4.1,300 G,
candies,104,18,13264590,Mumi Sweetened Flavoured Milk Tablets,1.0,12.5g,
candies,104,19,90159123,Mentos Mint - Chewy Dragees,4.25,135 G,
candies,104,20,90123376,Mentos Fruit Chewy Dragees Mentos,4.98,135 G,
candies,104,21,13274214,Kinder Milkredible Candy - Cocoa,4.6,105.3g,
candies,104,22,90147751,Mentos Mint & Fruity Assorted Flavours Chewy Dragees,7.98,405 G,
candies,104,23,13274215,Kinder Milkredible Candy - Milk,4.6,105.3g,
cereal,51,1,13208400,Nestle Trix Cereal,6.97,330g,Halal
cereal,51,2,13206550,Nestle Koko Krunch Economic Pack,8.5,450g,Halal
cereal,51,3,10591166,Nestle Cereal - Variety School Pack,4.9,6 x 20g / 25g,Halal
cereal,51,4,80440,Nestle Cereal - Milo,4.0,150g,Halal
cereal,51,5,13020957,Post Great Grains Cereal - Banana Nut Crunch,6.5,439g,
cereal,51,6,13018680,Post Great Grains Cereal - Blueberry Morning,6.5,382g,
cereal,51,7,13206560,Nestle Milo Cereal Economic Pack,8.5,450g,Halal
cereal,51,8,13184589,Nestle Cereal - Gold Cornflakes,5.95,500g,
cereal,51,9,13021420,Post Great Grains Cereal - Cranberry Almond Crunch,6.5,396g,
cereal,51,10,11042329,Kellogg's Cereal - Cornflakes (Jumbo Pack),6.7,500g,
cereal,51,11,114843,Nestle Cereal - Koko Krunch,6.46,300g,Halal
cereal,51,12,13245073,Nestle Cereal - Milo,1.64,70g,Halal
cereal,51,13,13206570,Nestle Cereal - Honey Stars Econopack,8.5,450g,Halal
cereal,51,14,10613679,Nestle Cereal - Milo,5.65,300g,Halal
cereal,51,15,13174343,Post Cereals - Waffle Crisp,7.52,326g,
cereal,51,16,12620098,Sanitarium Weet-Bix Breakfast Cereal,9.04,750g,
cereal,51,17,13021613,Post Great Grains Cereal - Raisins- Dates & Pecans,6.5,453g,
cereal,51,18,13021228,Post Great Grains Cereal - Crunchy Pecan,6.5,453g,
cereal,51,19,13180964,Kellogg's Cereal - Froot Loops,8.9,400g,Halal
cereal,51,20,13093016,Nestle Cereal - Cheerios (Multi Grain),7.0,300g,Halal
pie,51,1,13177137,Farmpride Frozen Pizza - Margherita,5.25,210g,Halal
pie,51,2,13033307,Dr Oetker Ristorante Pizza - Pepperoni,11.55,320g,Halal
pie,51,3,12033504,Dr Oetker Ristorante Pizza - Hawaii,11.55,355g,Halal
pie,51,4,13177140,Farmpride Stone Baked & Frozen Pizza - Truffle,5.25,215g,Halal
pie,51,5,122961,Dr Oetker Ristorante Pizza - Quattro Formaggi,11.55,340g,
pie,51,6,13167686,Dr.Oetker Ristorante Frozen Pizza - Margherita,11.55,295g,Halal
pie,51,7,122929,Dr Oetker Ristorante Pizza - Spinach,11.55,390g,
pie,51,8,122979,Dr Oetker Ristorante Pizza - Funghi,11.55,365g,
pie,51,9,11056659,Sunshine Frozen Pizza - Hawaiian,7.74,340g (2 per pack),
pie,51,10,10738957,Dr Oetker Ristorante Pizza - Mozzarella,11.55,355g,
pie,51,11,11089864,FairPrice Frozen Pizza - Deluxe Cheese,6.85,300g (2 per pack),Halal
pie,51,12,90072946,Orion Choco Pie 6p (Halal),2.3,180 G,
pie,51,13,11056472,Sunshine Frozen Pizza - Mozzarella Cheese,7.74,240g (2 per pack),
pie,51,14,11089936,FairPrice Frozen Pizza - Hawaiian,6.52,300g (2 per pack),Halal
pie,51,15,13202159,Oreo Cadbury Choco Pie,3.65,168g,
pie,51,16,90072944,Orion Custard Pie 6p (Halal),2.3,138 G,
pie,51,17,11089979,FairPrice Frozen Pizza - Pepperoni,6.85,300g (2 per pack),Halal
